title,speakers,description,topics,productAreas,industries
"Tinker, Taylor, Sailor, Developer - How UK Defence broke the mould",Ben Harper Head of Pega Practice Sixworks Col Chambers Sales Director Pega Thomas McKay Commander (Retired) Pega George Bradley Chief Petty Officer (Retired) Royal Navy,"A story of how a diverse group of professionals from different backgrounds came together to drive rapid digital transformation in the UK Military. By challenging the traditional top-down military model and adopting a people-centric approach, they were able to drive higher-value outcomes and improve decision-making, tempo, and quality of application delivery in a challenging environment. Working with SiXworks and using Pega Customer Service, embracing Pega low code, automation, and Pega agile delivery methodologies, they were able to develop a whole new way of delivering digital innovation, removing the digital skills gap, and allowing work to be done at pace. Learn more about the specific challenges they faced, how they overcame them, and what strategies they employed to drive successful outcomes.",Low-Code Development,Customer Service,Government
Accepting AI at T-Mobile: Driving Adoption to Achieve Business Outcomes,"Brian Sprigings Director, Care Revenue & Customer Loyalty T-Mobile Lisa Kravitz Senior Manager - Customer Relationship Strategy T-Mobile","Using next best action, T-Mobile has driven the adoption of AI at scale in assisted channels. Putting the right action in front of its customers and team of experts, T-Mobile has put the customer at the center, enabling the right journey. Learn how next best action has driven adoption of AI – allowing T-Mobile to realize the best experience for its customers and team of experts while driving better first call resolution. T-Mobile showed its team that trusting the action not only leads to better resolutions but also better business outcomes.",AI and Decisioning Customer Engagement Personalized Customer Experiences,Customer Decision Hub,Communications Service Providers
Panel-The Value of Patient Navigation at HCA,"Barbara Coughlin Vice President, Care Management Operations HCA Sonya Sharkey Director, Care Navigation Operations HCA Meredith Schiefer Director, Care Navigation Operations HCA Jesse Jawanda Senior Director Care Management ITG HCA","HCA Healthcare is committed to being the provider of choice for patients and physicians by leveraging the scale and capabilities of the system in the local markets. Why Care Navigation?  Operational Excellence – optimizing navigator efficiency while improving quality of service and navigator experience. Maximizing reusability reduces operational costs, increases standardization, improves quality, and accelerates time to market and growth. Better care coordination – improving patient outcomes and experiences.",Customer Engagement Customer Service Digital Transformation Low-Code Development Operational Excellence,Customer Service,Healthcare
Achieving Process Excellence with Task Mining and Process Mining at Navy Federal Credit Union,"Brian Kelleher Senior Director, Product, Process Mining and Workforce Intelligence Pega Leela Pothineni Manager, Process Automation and Optimization Navy Federal Credit Union Arnie Ignacio AVP, Automation Center of Excellence Navy Federal Credit Union","Navy Federal Credit Union’s multiple business units have coalesced around a single, lofty goal: maintain their position as the number one credit union for excellent member service. They’ve accomplished this through a commitment to interdepartmental collaboration, empowering citizen developers, and pursuing process improvement on a continuous basis. Most recently, two tools have been central to their success: Pega Task Mining and Pega Process Mining. Hear from two NFCU employees about their journey from Task Mining users to Process Mining early adopters and learn how their organization implemented a best-in-class process excellence initiative with truly impactful results.",AI and Decisioning,Intelligent Automation,Financial Services
Royal Bank of Canada Launches Its Disputes Management Journey with an MVP in Just 90 days,"Jonathan Gordon Director, Digital Operations Technology RBC Micheal Lambert Sr Director & Journey Lead RBC Deepak Tiwari Managing Director EY","Royal Bank of Canada (RBC) needed to improve its client and agent experience in disputes management. RBC and EY promptly defined a goal for an MVP: Set the program in motion through a series of small releases, delivering business benefits quickly by mobilizing all functions. RBC adopted Pega Smart Dispute™ to implement end-to-end Visa and Mastercard disputes for fraud and non-fraud credit card and debit transformation. Join this session to learn how they ultimately deployed multiple major/minor releases using an agile delivery approach that supports dispute intake through web self-service and faster resolution via straight-through processing – all to drive better agent and customer experiences.",Customer Service Operational Excellence Workflow Automation,Customer Service Intelligent Automation Other,Financial Services
Panel-Realizing the Promise of Citizen Development: Perspectives on challenges and success,"Timothy Harfield Senior Director, Product Marketing, Intelligent Automation Pega Amit Sircar Manager, Center of Excellence Programs, Automation Center of Excellence Navy Federal Credit Union Dirk Böning-Corterier Product Owner, Citizen Development DB Systel/Deutsche Bahn","Gartner predicts that half of low code purchases will come from outside of IT by the end of 2025. According to Forrester, Pega clients can expect to see a 12% increase in productivity and 16% savings for every departmental application created by citizen developers. Clearly, citizen development has a lot of promise. But a low-code platform is a tool, and as a tool it’s only as effective as the organizations that wield it. In this session, citizen development program leaders from large organizations will share how they think about citizen development, the structure of the programs they have built, challenges they have overcome, lessons learned, successes, and plans for the future.",Digital Transformation Low-Code Development Workflow Automation,Platform,Financial Services Transportation
Redefining the “A” in AI: AI and the Autonomous Enterprise,"Peter van der Putten Director, AI Lab Pega","Join Peter van der Putten, Director of Pega's AI Lab and Assistant Professor of AI, as he shares his insights on the strategic role of AI in transforming businesses into autonomous enterprises. In this engaging breakout session, Peter will redefine the ""A"" in AI from multiple perspectives and showcase real-life examples of enterprises that use AI-powered decisioning to drive better outcomes, maximize efficiency, provide exceptional service, and increase customer relevance and value. Don't miss out on this opportunity to gain a unique perspective on the expanding role of AI in business.",AI and Decisioning,Intelligent Automation,Cross-Industry
How to Improve CX Across the Entire Customer Lifecycle,Rebecca Miller Senior Product Strategy Manager Pega Fortuné Alexander Senior Director of Product Marketing Pega,"Improve customer experience through every stage of the customer lifecycle. Join this session to understand how Pega’s Sales Automation, Customer Service, and Real-time Decisioning solutions work together to automate and orchestrate the customer journey from awareness through consideration, purchase, use, and renewals.",Customer Engagement Customer Service Sales Automation,Customer Service Marketing Sales Automation,Cross-Industry
Digital Automation at First Citizens Bank,John Montoya Executive Director Application Development & Support First Citizens Bank Sanjoy Sarkar Director Application Development & Support First Citizens Bank,"First, we’ll cover First Citizens & Robolution! This is a dive into how FCB is using OCR, AI, Machine Learning and Predictive Analysis to accelerate business outcomes and auto-pilot business process. Second, we’ll cover proactive customer service using AI-powered workflows. At FCB we believe that just having satisfied customers isn’t good enough anymore. If you really want a booming business, you have to create raving fans.",Customer Service Robotic Process Automation,Customer Service Intelligent Automation Platform Robotic Process Automation,Financial Services
Pega AI in Claims Operations at Elevance,Ashwini Gupta Senior Director of Digital Ops Elevance Kimberly Cowart Staff VP Claims Operation Elevance,"Going live with Pega Smart Claims started Elevance on a road to transforming claims – the center of complexity for health plan operations. Join this session to hear how Elevance has succeeded in creating a unified, guided experience for examiners as well as a consolidated platform for claims processing, using Pega AI for proactive and predictive insight-driven inventory management. Discover how the organization is delivering a digital-first enhanced experience that drives personalization and meets its promises to customers and providers.",AI and Decisioning,Intelligent Automation,Healthcare
Citi modernizes the Forbearance process to work smarter with increased controls,"Kinnary Patel Senior Vice President, Technology Citigroup Dale Wegner SVP Citigroup","Citi executed a multi-year, multi-release program of initiatives to revamp and modernize the Forbearance systems into a lean and adaptive model. The program accomplished this by leveraging the Pega Platform to reduce risk, increase controls around enrollment, set-up, and life-cycle management, as well as improve risk reporting and analytics.   Citi launched the first release of FDM (Forbearance and Deferral Manager) in 6 months (September 2021). Continuous releases will continue through 2023.",Operational Excellence Workflow Automation,Platform,Financial Services
